cat,sub_cat,name,spec,msg,qr0,qr1,qr2,qr3,qr4,qr5,qr6,qr7,qr8,qr9,flow_name,flow_id,node_id
Activity,Adult05,Calm,Take a pause,"Well done for Taking a Pause. You have added another skill to your Parenting Toolkit! 
You can do this anytime you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with your Children!",,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,7312ab86-30a2-48a4-8d93-c147b1d464f8
Activity,Adult05,Calm,Take a pause,Step 3. Focus on your breath. Feel your breath as it goes in and out. You can put a hand on your stomach and feel it rise and fall with each breath. Do this for about 10 breaths.,,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,f6de9915-3436-485d-869e-a4f22b835ecd
Activity,Adult05,Calm,Take a pause,Would you like to learn more about this tip?,No,Yes,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,567cc98c-7f94-435a-bcf1-0063398457e0
Activity,Adult05,Calm,Take a pause,"Step 2. Ask yourself, ""What am I thinking?"" Notice if your thoughts are positive or negative.",,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,fc0d1115-7b34-493c-a4ed-2b7a97900c9f
Activity,Adult05,Calm,Take a pause,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,24b5aff0-487c-4f55-8677-8d774bbdf2ae
Activity,Adult05,Calm,Take a pause,"That's okay! You can always type ""Help"" at anytime if you need an activity to help you relax or reduce stress. Chat to you later!",,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,e4a768bd-4443-4905-b4da-48c986bcb18c
Activity,Adult06,Calm,Taking care of yourself,"Taking care of yourself

Here is a short activity that can help when you are feeling like needing some more support to get through the day.",,,,,,,,,,,PLH - Activity - Adult06 - Calm - Taking care of yourself,04ba4111-c954-423d-8908-ebf97903fcda,06369915-aaef-4989-8468-b8f2860e4d6d
Activity,Adult06,Calm,Taking care of yourself,Recognise what is happening for you in this moment. What are you thinking? Are your thoughts positive or negative. How do you feel? Do you feel pleasant or unpleasant? How does your body feel? Do you feel tense or relaxed? ,,,,,,,,,,,PLH - Activity - Adult06 - Calm - Taking care of yourself,04ba4111-c954-423d-8908-ebf97903fcda,910e9a76-d44d-47c8-9060-3feb81f97de9
Activity,Adult06,Calm,Taking care of yourself,Connect to your heart in a kind and gentle way. You may want to place one hand on your heart or chest.,,,,,,,,,,,PLH - Activity - Adult06 - Calm - Taking care of yourself,04ba4111-c954-423d-8908-ebf97903fcda,f111febc-872b-4885-abf0-f9aac767d1de
Activity,Adult06,Calm,Taking care of yourself,"You can then say the following words silently to yourself:
May I be peaceful.
May I be safe.
May I be healthy.
May I be happy.
May there be love in my family.
May I feel loved.",,,,,,,,,,,PLH - Activity - Adult06 - Calm - Taking care of yourself,04ba4111-c954-423d-8908-ebf97903fcda,f055d0ea-3dd6-492b-8091-fbfe8e58d269
Activity,Adult06,Calm,Taking care of yourself,Take a moment to reflect on your experience. Remember that you can do this activity at any time whenever you feel like you need extra support.,,,,,,,,,,,PLH - Activity - Adult06 - Calm - Taking care of yourself,04ba4111-c954-423d-8908-ebf97903fcda,022694ab-caa2-4c2a-83b6-93b7f255b4e2
Activity,Adult07,Calm,Magical number,Hello! Did you know that 3 is a magical number? Breathe in to the count of three and breathe out to the count of three. How do you feel now? Do you feel any different? ,,,,,,,,,,,PLH - Activity - Adult07 - Calm - Magical number,f9f094d6-d9f6-4bf5-a7b7-85b756faff40,7758ac2f-a764-42bd-8152-8d1a14e16bb7
Activity,Adult07,Calm,Magical number,What are your three favourite foods? Can you name three things you can see right now? Can you hear three sounds you can hear right now? What are three things you are grateful for right now? ,,,,,,,,,,,PLH - Activity - Adult07 - Calm - Magical number,f9f094d6-d9f6-4bf5-a7b7-85b756faff40,be56b42f-6286-47c1-95b8-f00ac41d29da
Activity,Adult07,Calm,Magical number,Breathe in to the count of three and breathe out to the count of three? How do you feel now? Do you feel any different? Three is a magical number!,,,,,,,,,,,PLH - Activity - Adult07 - Calm - Magical number,f9f094d6-d9f6-4bf5-a7b7-85b756faff40,f5bd7e19-379a-46cb-8ff0-2e942efa23f5
Activity,Adult08,Active,Relax,"Hello! How are you feeling? If you are feeling overwhelmed or stress, here's a fun activity that can also release some stress.",,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,73e846af-8121-40d7-8940-fdd783f114c3
Activity,Adult08,Active,Relax,Stand up and stretch your arms up to the sky. Push away any clouds and let the Sunshine of Positive Attention shine down on you. Stretch to both sides. Stretch to the front and to the back.,,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,8546cb79-5c0c-4fb3-877b-a09a7bbcbf26
Activity,Adult08,Active,Relax,"Place one foot in front of the other and make small circles from ankles, remember to turn to both sides. Do each foot with four circles in each direction",,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,49ffc991-8e6b-434f-b4a3-33674c36c6ab
Activity,Adult08,Active,Relax,Now shake your whole body as fast as you can. Shake it up high! Shake it down low! Shake it all around!,,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,8aed4320-ddc6-4a24-8d4f-690f06d72854
Activity,Adult08,Active,Relax,"Let your hand hang by your side. Squeeze your shoulders tightly up to your ears as you breathe in, scrunch your eyes, and hold your breath. Release your shoulders as you relax your body.",,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,08881608-e7a9-4011-8bc8-27bbd908549d
Activity,Adult08,Active,Relax,Close your eyes and raise your arms slowly above your head as you breathe in. Lower your arms slowly to your side as you breathe out. Repeat 4 times.,,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,6ba3b724-f1b2-48ac-8879-2f8dd8f7d137
Activity,Adult08,Active,Relax,"Relax your arms and let them swing to the front and back. Take 4 deep breaths while you do this. This is good for your lower back.

Relax your arms and let your arms to swing sideways, and turn your upper body. Your arms should gently hit your back as you twist from side to side.",,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,c881b2e2-e289-45b0-bd49-76a8ec4d9f24
Activity,Adult08,Active,Relax,Take a moment to reflect on your experience. Remember that you can do this activity at any time whenever you feel like you need to release stress and energise your mind and body.,,,,,,,,,,,PLH - Activity - Adult08 - Active - Relax,74b81542-1854-442c-8a18-40e1f82f536d,97cf6a1e-1011-4cf4-9663-a4729d6964ba
Activity,Adult09,Active,Stop & listen,"Stop & Listen
• Stop for a moment and close your eyes. 
• How many sounds can you hear? Listen to sounds inside and outside the room. Count them on your fingers. (Pause for 10 seconds)
• How many fingers do you have up? What sounds did you hear? 
• Let’s try again. Can you hear any new sounds this time? Can you hear any sounds inside your own body? (Pause for 10 seconds)
• Open your eyes. What new sounds did you hear?",,,,,,,,,,,PLH - Activity - Adult09 - Active - Stop & listen,ddbc4c5e-69ba-4c1d-8e75-08b79213abd1,4ba16d0e-882f-462f-b72a-ef416a928688
Activity,Adult10,Calm,Release some energy,"Release Some Energy
•	Baba da bi da ba da baaa! Pause Power! 
•	What’s Pause Power I hear you say? It’s the ability to transform from a grumpy, angry person into a calm, clear one. 
•	When I’m feeling frustrated I plant my feet firmly on the ground and I breathe in and out three times as slowly as I can. Sometimes I imagine I’m smelling a flower and blowing out a candle. 
•	Da ta! Pause Power! My transformation from grumpy to calm is complete!",,,,,,,,,,,PLH - Activity - Adult10 - Calm - Release some energy,fe8cdd40-85ce-45f6-a6d2-b107d1cbbf2b,f36c0e6c-ffe9-4fa6-b602-b9994b1f87a7
Activity,Adult11,Calm,Give yourself a hug,"Give Yourself A Hug
•	Bella mama, bella mama hey. 
•	Hey there! How are you feeling today? Do you feel great?!
•	Maybe not. Maybe you shouted again at your children today? Maybe you got angry and said something you don't feel proud of? It’s ok. It’s super stressful right now. 
•	Take a deep breath and think of one thing you did today that you do feel proud of. It doesn't have to be big. And wrap your arms around your body and give yourself a hug. And now think of one thing you did today that you don't feel proud of. What can you do differently tomorrow? And wrap your arms around your body and give yourself a hug. 
•	Bella mama, bella mama, bella mama, bella mama, bella mama, bella mama hey”.",,,,,,,,,,,PLH - Activity - Adult11 - Calm - Give yourself a hug,62cca4c6-72e3-4a24-89a3-7e5a29044dd2,dc0038ea-ae84-43c3-b7dd-63a19c087e04
Activity,Baby01,Active,Mirror game,"Mirror Game
• Get to your baby's level so they can see you and hear you. 
• Copy their facial expressions and sounds. 
• It is so simple while creating a strong bond between you and your baby!",,,,,,,,,,,PLH - Activity - Baby01 - Active - Mirror game,468a95c1-35ec-4f02-b136-260d1ff2d936,3a26419d-d000-4eea-a425-00da140211d3
Activity,Baby02,Active,Peek-a-boo!,"Peek-a-Boo! 
• Cover your face with your hands. 
• Quickly show your face and say ""Peek-a-Boo!"" or ""Hello!"" Babies love it!",,,,,,,,,,,PLH - Activity - Baby02 - Active - Peek-a-boo!,5779ee42-fc90-4e66-ac66-dd817bdd86b0,b4076fb1-d642-4fe6-970c-ea7400a54fb2
Activity,Baby03,Active,Funny faces,"Funny Faces
•	Look at your baby in the eyes and make different funny faces. 
•	Make a big face. Make a small face. Make a happy face. Make a surprised face. 
•	Which ones make your baby smile or laugh? Do them again, even bigger this time!
•	Play with different feelings and add sounds. 
•	Copy their facial expressions too. Exaggerate them to make them funny.
•	Always end on a positive expression!",,,,,,,,,,,PLH - Activity - Baby03 - Active - Funny faces,fa2c76d7-61ce-4fe1-a5a7-8c14ad6bac76,da0e5e90-7fbb-47c6-b98f-fcb086011e4f
Activity,Baby04,Active, The sun is coming!,"The Sun is Coming! 
•	Lie your baby on their back after washing them or changing their diaper
•	Tell them the sun is coming! Wiggle your fingers like sunrays above their head and make your face a big smiling sun.
•	Tell them the wind is coming! Blow softly over their body.
•	Tell them the rain is coming! Use your fingers to gently pat over their whole body like light raindrops.
•	Tell them the clouds are coming! Wrap the towel or cloth around them like a blanket and cuddle them 
•	Play with different weathers. Which one does your baby like best?
•	Add sound effects or make it into a little song. Use the tune of another song you know! ",,,,,,,,,,,PLH - Activity - Baby04 - Active -  The sun is coming!,5f6de26e-a70b-4107-b629-0ee50f9f66c8,d27dd81e-6974-466a-aa96-c681b110da03
Activity,Baby05,Active, Shakers,"Shakers
•	Find an empty, clean plastic bottle or pot with a lid that closes tight.
•	Fill it with sand, stones, uncooked rice, beans or any small objects that make an interesting sound. 
•	Move your body as you shake it in front of your baby
•	If it is safe, give it to your baby to shake!
•	Get creative! Can you find something colourful or try it with water? 
•	What sounds does your baby like?",,,,,,,,,,,PLH - Activity - Baby05 - Active -  Shakers,7007bc62-f980-4372-9a25-5c15e2df1a63,8d10d7ba-7af7-42f4-b48d-37c7e1a4b3f8
Activity,Baby06,Active, Musical Toes,"Musical Toes
•	Put your baby on their back
•	Wiggle their toe and say, “This little toe goes [funny sound]”
•	Make a funny sound for each toe
•	Play with different sounds. For example, animal sounds, popping sounds, squeaky sounds, fart sounds. 
•	Repeat this for all ten toes. 
•	Try to make the last toe the biggest and funniest sound!",,,,,,,,,,,PLH - Activity - Baby06 - Active -  Musical Toes,b0be6adc-1f0b-4d92-a6cf-650d15167ef1,8eb0be23-ed69-48df-9f0d-7e29f52135d2
Activity,Baby07,Active, Down in a ditch!,"Down in a ditch!
•	Sit on a chair and put your toddler on your lap facing you. Hold them firmly under the arms.
•	Gently bounce your legs and say in a soft voice “Baby horse, baby horse, baby horse, baby horse”
•	Bounce your legs a bit more and say a bit louder “Little horse, little horse, little horse, little horse”
•	Bounce your legs more and say louder “Big horse, big horse, big horse, big horse”
•	When you call out “Down in a ditch!” open your knees and let your child drop down between them. Make sure you hold them so they don’t fall far! ",,,,,,,,,,,PLH - Activity - Baby07 - Active -  Down in a ditch!,cbf266ac-6ff2-4df3-84a5-1e0eb72809a4,1814859b-6227-4d63-a21a-b83ecafc1d2d
Activity,Baby08,Active, Dance party,"Dance Party
•	Put on your favourite music or sing your favourite song and dance around the room with your toddler. If you have a baby hold them while you dance. 
•	Dance in different ways or with different parts of your body
•	For example, “Dance like a monkey”, “Dance like a chicken” or “Let’s dance with our knees and hips”
•	Think up different instructions. Be seriously playful! 
•	When the music stops, everyone does a funny freeze
•	Notice what rhythms or movement they like!",,,,,,,,,,,PLH - Activity - Baby08 - Active -  Dance party,858744f7-a17f-4592-a9a1-4a61a5df9339,f2398015-746b-43d0-887f-9265c7a19b49
Activity,Baby09,Calm,Lullaby,"Lullaby
•	When your baby or toddler cries, sing a soft song to calm you both down
•	Sing a soothing song you know or make up your own with a simple melody and some soothing words
•	Repeat it over and over in a rhythmical way. For example, “My little one, oh little one”
•	Sing the same song regularly so your child gets used to it!",,,,,,,,,,,PLH - Activity - Baby09 - Calm - Lullaby,5aa6460d-afbb-4ae2-99c1-6df1f02880c0,8c38f795-7b9c-4f11-a353-8d55ec332cb1
Activity,Baby10,Active,See it Be it,"See It Be It
•	Look around you and name something that you can see. For example, a tree or a cup
•	Say to your child “I see a tree, let’s be it”
•	Countdown from 5 and make the shape of a tree with your bodies. Be as big and silly as possible.
•	Now let your child have a turn. What can they see?
•	If you can, go outside and be in nature. If you can’t, play it inside. 
•	When you’ve done it a few times, add moves and sounds!",,,,,,,,,,,PLH - Activity - Baby10 - Active - See it Be it,a6e113be-5d73-4bc8-b77f-0f1b4b4f6925,ee56e70a-1c0c-4d34-bd3e-4a8cd3191161
Activity,Baby11,Active,Cooking together,"Cooking together
•	Children love to do what you do!
•	Let your baby play with pots and spoons while you are making dinner",,,,,,,,,,,PLH - Activity - Baby11 - Active - Cooking together,5164df94-e5d0-4890-ab0b-9b020a5f3703,a7f53eec-2d9b-4451-bbdb-399768688729
Activity,Baby12,Calm,Book sharing,"Hello! Book-sharing can be a great learning for your child. You can use a simple pictures in books, magazines, or newspapers to do lots of things that you and your child can enjoy.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,869647ee-e290-4dfa-8d0c-861ccab17886
Activity,Baby12,Calm,Book sharing,Would you like to learn more about how you can help your child develop through book sharing?,No,Yes,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,549bce2f-f68e-4e29-ba21-3edd1d843265
Activity,Baby12,Calm,Book sharing,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,f2f8bf93-d95a-41c8-9d95-d208a1ae1120
Activity,Baby12,Calm,Book sharing,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,0f42af29-e05e-40fe-a807-7eb1be118e79
Activity,Baby12,Calm,Book sharing,"Here are some tips for sharing books with your child:
1. Follow your child's interest
2. Use a lifely voice
3. Pointing and naming
4. Be positive and supportive
5. Making actions and links
6. Talking about feelings
7. Babies and books go well together
To learn more about one of these tips, type ""1"" to ""7"". You can also type ""N"" to move on.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,ef51aa2b-6c12-4310-a582-3051d5aa3463
Activity,Baby12,Calm,Book sharing,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,fb9d826d-9159-47e2-9115-572956756552
Activity,Baby12,Calm,Book sharing,"1. Follow your child’s interest
Talk about what interests your child. When your child shows interest in a picture (pointing, patting, looking), use this as a chance to talk about what has attracted your child’s interest",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,d51a14c5-cb14-4b00-9d6b-eb6df6d5c825
Activity,Baby12,Calm,Book sharing,"2. Use a lively voice
Speak with a lively or animated voice. This will help to keep the child’s attention on the book.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,b4790323-5f5b-4d24-92cf-d196e65b43bc
Activity,Baby12,Calm,Book sharing,"Well done! You have added another tool to your Parenting Tooolbox! Sharing books with your child will help them to learn to speak, think and focus better. It will also help them to get along with others better, by helping them understand about feelings",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,15773b09-444b-42fb-b3c5-f50e337d01bd
Activity,Baby12,Calm,Book sharing,"3. Pointing and naming
Pointing to and naming an object or person in the book will help your child learn new words. Children learn through repetition, so repeat the word and look for other opportunities to use the word (in the book or elsewhere). ",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,fe9efe8f-1dc0-4a6a-a1cb-7a7198e48d9d
Activity,Baby12,Calm,Book sharing,"4. Be positive and supportive
Always respond positively to whatever your child says about the pictures. For example, if your child points to a red apple and says “Tomato”, you can say “Yes, you’re right, it’s red - it's an apple!”",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,c263a8df-7dd1-45cb-8c49-e22379d73cef
Activity,Baby12,Calm,Book sharing,"If your child knows a word and can say that word, ask “What’s that?” and give them the opportunity to say the word and point to it.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,6cdd3a30-2c8e-4324-9b0d-81fa5e58581a
Activity,Baby12,Calm,Book sharing,"5. Making actions and links
Connect things in the book with familiar things in your child’s world. For example, if the baby in the book is wearing shoes, ask your child to point out their own shoes. If someone in the book is waving, you and your child can do the same. ",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,605b6773-446d-490c-a011-45dfc4960269
Activity,Baby12,Calm,Book sharing,"6. Talking about feelings
Books are a great way for children to learn more about feelings. You can use your face and voice to help them understand emotion words like happy, sad, angry, or scared. You can use what is happening in the book to talk about your child’s own feelings, and why other people might feel a certain way.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,d408f09c-2518-4d2f-85ba-c7c9c6307c7c
Activity,Baby12,Calm,Book sharing,"7. Babies and Books!
Even very young babies enjoy book-sharing and looking at the pictures together with a parent or caregiver. In fact, regular book-sharing helps their development and learning. And it is okay for them to put the book in their mouth - they are exploring!",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,b78e9f74-6f7a-4529-9bac-a2cef7cdbfda
Activity,Baby12,Calm,Book sharing,"Here are some examples! 
“Look, she is smiling. Why do you think she is smiling? What made you smile today?”
“The monkey is sad because he is all on his own. Can you remember when you were last sad?”
“That tiger looks angry. Why do you think he is angry? Do you remember when I got angry this morning?” ",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,0f75cca2-1aba-49d7-a65a-8258f042531a
Activity,Baby12,Calm,Book sharing,"You can use books and stories to help talk with children about topics related to COVID-19 (such as getting sick, not going to school or work, staying indoors, feeling worried) and help them think about how this makes them feel.",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,c73f5351-6cb1-4c4f-9b9d-fc7ca0a6e37d
Activity,Baby12,Calm,Book sharing,Chat to you later!,,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,59ace085-4915-45b8-9da6-344a908ae58e
Activity,Baby12,Calm,Book sharing,"Remember you can always type ""Help"" if you ever want more parenting tips or support. You can also change the type of messages you receive for an older or younger child. Just select ""Technical Support."" Chat to you later!",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,46a29818-2aaa-45eb-9dc5-21026dec4d35
Activity,Baby12,Calm,Book sharing,Do you want to go back and learn more sharing books with your child?,No,Yes,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,8c966cfd-8ba4-4bb2-8a68-1dff49e81612
Activity,Baby12,Calm,Book sharing,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Activity - Baby12 - Calm - Book sharing,e673e874-73e3-4577-b3b1-209af1066428,708c477d-8081-4d83-9793-9535c041329c
Activity,Baby13,Calm,At the end of the day,"At the End of the Day
•	At the end of each day, take a minute to think about the day.  
•	Talk your child about one positive or fun thing they did.
•	Praise yourself for one thing you did well today.
•	Think of one thing that you are grateful for.  
•	You are a star!",,,,,,,,,,,PLH - Activity - Baby13 - Calm - At the end of the day,8608a0ee-7dbb-43a4-b809-755773b7ad91,92ed20af-b4c4-42f6-8468-0a0f12bcc22d
Activity,Child01,Active, Rain on the mountain,"Rain on the Mountain
•	Call out, “There’s rain on the mountain”
•	Everyone else replies “Run, run, run” while running around the space. 
•	Call out different instructions. For example, touch something red or hop like a frog
•	Keep playing and change the instructions each time. 
•	You can use this as a fun way to learn colours or even tidy up! ",,,,,,,,,,,PLH - Activity - Child01 - Active -  Rain on the mountain,7feae8f5-46a8-4b70-89f1-713e34992a3e,973ddea5-a5a9-460a-9312-1ccfb1375430
Activity,Child02,Active, Dance party,"Dance Party
•	Play or sing your favourite music and dance around the room
•	Dance in different ways or with different parts of your body
•	For example, “Dance like a monkey”, “Dance like a chicken” or “Dance with just our knees and hips”
•	Think up different instructions. Be seriously playful! 
•	When the music stops, everyone does a funny freeze. 
•	Give your child a chance to be the one to stop the music! ",,,,,,,,,,,PLH - Activity - Child02 - Active -  Dance party,fad17aa2-d7cc-4ef1-a547-3423cadd3b8c,b12d3a64-5385-442e-b6ef-325b25212dda
Activity,Child03,Calm, Listening to sounds,"Listening to Sounds
•	Sit down and close your eyes
•	How many sounds can you hear? Listen to the sounds inside and outside the room. Count them on your fingers
•	After ten seconds, how many fingers do you have up? What sounds did you hear?
•	Try again for another ten seconds. 
•	Can you hear any new sounds? Can you hear any sounds inside your own body?
•	Notice how you feel and ask your child how they are feeling.",,,,,,,,,,,PLH - Activity - Child03 - Calm -  Listening to sounds,36a4facb-54b1-4c45-a104-24aac4bb13b9,16daa0f8-8d50-407b-90f6-51995c7140ec
Activity,Child04,Active, See it be it,"See It Be It
•	Look around you and name something that you can see. For example, a tree or a cup
•	Say to your child “I see a tree, let’s be it”
•	Countdown from 5 and make the shape of a tree with your bodies. Be as big and silly as possible.
•	Now let your child have a turn. What can they see?
•	If you can, go outside and be in nature. If you can’t, play it inside. 
•	When you’ve done it a few times, add moves and sounds!",,,,,,,,,,,PLH - Activity - Child04 - Active -  See it be it,220571bf-b05c-4634-b73b-87463effaffc,af76ba9e-14d7-483a-a972-ce48bfd15670
Activity,Child05,Calm,Story time,"Story time
•	Start the story with “Once upon a time there was a…”
•	Let your child make up the next sentence
•	Then you make up a sentence
•	Take turns until you have a wonderful new story
•	Make sure to end the story on a positive note.
•	Ask your child what was their favourite part of the story!",,,,,,,,,,,PLH - Activity - Child05 - Calm - Story time,4514302c-fbd6-4118-a6e6-a1dfeae52432,679e92b2-a26c-44f3-affa-d5c3dbe8f1c7
